title,release_date,target_audience,length,rating,synopsis,genres,staring,original_language,original_country,original_title
Princess Bride,"March 9, 1988 (France)",Tous publics,1h 38m,8.1,"While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Adventure,Family,Fantasy","Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,Christopher Guest,Wallace Shawn,André the Giant,Fred Savage,Peter Falk,Peter Cook,Mel Smith,Carol Kane,Billy Crystal,Anne Dyson,Margery Mason,Malcolm Storry,Willoughby Gray,Betsy Brantley",English,United Kingdom,Original title: The Princess Bride
Neon Genesis Evangelion: The End of Evangelion,"June 21, 2019 (France)",12,1h 27m,8.1,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"Animation,Action,Drama","Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi,Yuriko Yamaguchi,Fumihiko Tachiki,Akira Ishida,Motomu Kiyokawa,Mugihito,Takehito Koyasu,Hiro Yûki,Miki Nagasawa,Spike Spencer,Amanda Winn Lee,Tiffany Grant,Allison Keith,Sue Ulu,Tristan MacAvery",Japanese,Japan,"Original title: Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni"
Les nuits de Cabiria,"October 16, 1957 (France)",Tous publics,1h 50m,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Drama,"Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,Aldo Silvani,Ennio Girolami,Mario Passante,Christian Tassou,Amedeo Nazzari,Gianni Baghino,Franco Balducci,Ciccio Barbi,Jusy Boncinelli,Loretta Capitoli,Leo Catozzo,Dominique Delouche,Edda Evangelista,Franco Fabrizi",Italian,Italy,Original title: Le notti di Cabiria
Before Sunset,"March 16, 2005 (France)",Tous publics,1h 20m,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama,Romance","Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,Rodolphe Pauly,Mariane Plasteig,Diabolo,Denis Evrard,Albert Delpy,Marie Pillet",English,United States,
Fanny et Alexandre,"March 9, 1983 (France)",Not Rated,3h 8m,8.1,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Drama,"Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,Kristian Almgren,Carl Billquist,Axel Düberg,Allan Edwall,Siv Ericks,Ewa Fröling,Patricia Gélin,Majlis Granlund,Maria Granlund,Eva von Hanno,Sonya Hedenbratt,Olle Hilding,Svea Holst,Jarl Kulle",Swedish,Sweden,Original title: Fanny och Alexander
La bataille d'Alger,"October 21, 1971 (France)",Tous publics,2h 1m,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama,War","Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,Ugo Paletti,Fusia El Kader,Mohamed Ben Kassen,Franco Moruzzi,Tommaso Neri,Rouïched,Gene Wesson",Arabic,Italy,Original title: La battaglia di Algeri
New York - Miami,"September 12, 1934 (France)",Tous publics,1h 45m,8.1,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Comedy,Romance","Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Jameson Thomas,Alan Hale,Arthur Hoyt,Blanche Friderici,Charles C. Wilson,Ernie Adams,Jessie Arnold,Irving Bacon,William Bailey,William Begg,William A. Boardway,Ward Bond,Harry C. Bradley,George P. Breakston",English,United States,Original title: It Happened One Night
Andreï Roublev,December 1969 (France),R,3h 25m,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","Biography,Drama,History","Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,Irina Tarkovskaya,Nikolay Burlyaev,Yuriy Nazarov,Yuriy Nikulin,Rolan Bykov,Nikolay Grabbe,Mikhail Kononov,Stepan Krylov,Bolot Beyshenaliev,B. Matysik,Anatoliy Obukhov,Vladimir Titov,Nikolay Glazkov,K. Aleksandrov",Russian,Soviet Union,Original title: Strasti po Andreyu
Rocky,"March 25, 1977 (France)",Tous publics,2h,8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Drama,Sport","Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith,Thayer David,Joe Spinell,Jimmy Gambina,Bill Baldwin,Al Silvani,George Memmoli,Jodi Letizia,Diana Lewis,George O'Hanlon,Larry Carroll,Stan Shaw,Don Sherman,Billy Sands",English,United States,
Nausicaä de la vallée du vent,"August 23, 2006 (France)",Tous publics,1h 57m,8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Animation,Adventure,Sci-Fi","Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,Ichirô Nagai,Kôhei Miyauchi,Jôji Yanami,Minoru Yada,Rihoko Yoshida,Masako Sugaya,Takako Sasuga,Chika Sakamoto,Tarako,Yôji Matsuda,Mîna Tominaga,Mugihito,Akiko Tsuboi,Yoshiko Sakakibara",Japanese,Japan,Original title: Kaze no tani no Naushika
Amours chiennes,"November 1, 2000 (France)",12,2h 34m,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama,Thriller","Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,Vanessa Bauche,Jorge Salinas,Marco Pérez,Rodrigo Murray,Humberto Busto,Gerardo Campbell,Rosa María Bianchi,Dunia Saldívar,Adriana Barraza,José Sefami,Lourdes Echevarría,Laura Almela,Ricardo Dalmacci,Gustavo Sánchez Parra",Spanish,Mexico,Original title: Amores perros
Rush,"September 25, 2013 (France)",Tous publics,2h 3m,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Action,Biography,Drama","Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Pierfrancesco Favino,David Calder,Natalie Dormer,Stephen Mangan,Christian McKay,Alistair Petrie,Julian Rhind-Tutt,Colin Stinton,Jamie de Courcey,Augusto Dallara,Ilario Calvo,Patrick Baladi,Vincent Riotta,Martin Savage",English,United Kingdom,
Into the Wild,"January 9, 2008 (France)",Tous publics,2h 28m,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Adventure,Biography,Drama","Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,William Hurt,Jena Malone,Brian H. Dierker,Kristen Stewart,Hal Holbrook,Jim Gallien,James O'Neill,Malinda McCollum,Paul Knauls,Zach Galifianakis,Craig Mutsch,Jim Beidler,John Decker,John Hofer",English,United States,
Eskiya le bandit,"May 27, 1998 (France)",Tous publics,2h 1m,8.2,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.","Crime,Drama,Thriller","Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim,Kamran Usluer,Ülkü Duru,Özkan Ugur,Necdet Mahfi Ayral,Kayhan Yildizoglu,Güven Hokna,Kemal Inci,Melih Çardak,Settar Tanriögen,Celal Perk,Ümit Çirak,Riza Sönmez,Romina Özipekçi,Kezban Sardan",Turkish,Turkey,Original title: Eskiya
In the Mood for Love,"November 8, 2000 (France)",Tous publics,1h 38m,8.1,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Drama,Romance","Tony Chiu-Wai Leung,Maggie Cheung,Siu Ping-Lam,Tung Cho 'Joe' Cheung,Rebecca Pan,Kelly Lai Chen,Man-Lei Chan,Kam-Wah Koo,Szu-Ying Chien,Paulyn Sun,Roy Cheung,Po-chun Chow,Hsien Yu,Julien Carbon,Laurent Courtiaud,Charles de Gaulle",Cantonese,Hong Kong,Original title: Fa yeung nin wah
Monstres & Cie,"March 20, 2002 (France)",Tous publics,1h 32m,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Animation,Adventure,Comedy","Billy Crystal,John Goodman,Mary Gibbs,Steve Buscemi,James Coburn,Jennifer Tilly,Bob Peterson,John Ratzenberger,Frank Oz,Daniel Gerson,Steve Susskind,Bonnie Hunt,Jeff Pidgeon,Samuel Lord Black,Jack Angel,Bob Bergen,Rodger Bumpass,Gino Conforti",English,United States,"Original title: Monsters, Inc."
Hôtel Rwanda,"March 30, 2005 (France)",Tous Public,2h 1m,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography,Drama,History","Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,Desmond Dube,Hakeem Kae-Kazim,Tony Kgoroge,Rosie Motene,Neil McCarthy,Mabutho 'Kid' Sithole,Nick Nolte,Fana Mokoena,Jeremiah Ndlovu,Lebo Mashile,Antonio David Lyons,Leleti Khumalo,Kgomotso Seitshohlo,Lerato Mokgotho",English,United Kingdom,Original title: Hotel Rwanda
Monty Python : La Vie de Brian,"April 8, 1980 (France)",Tous publics,1h 34m,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,"Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,Eric Idle,Terry Jones,Terence Bayler,Carol Cleveland,Kenneth Colley,Neil Innes,Charles McKeown,John Young,Gwen Taylor,Sue Jones-Davies,Peter Brett,John Case,Chris Langham,Andrew MacLachlan",English,United Kingdom,Original title: Life of Brian
Rebecca,"May 22, 1947 (France)",Tous publics,2h 10m,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama,Mystery,Romance","Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Nigel Bruce,Reginald Denny,C. Aubrey Smith,Gladys Cooper,Florence Bates,Melville Cooper,Leo G. Carroll,Leonard Carey,Lumsden Hare,Edward Fielding,Philip Winter,Forrester Harvey,Bunny Beatty,Billy Bevan",English,United States,
Platoon,"March 25, 1987 (France)",12,2h,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Drama,War","Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,Forest Whitaker,Francesco Quinn,Kevin Dillon,John C. McGinley,Reggie Johnson,Mark Moses,Corey Glover,Johnny Depp,Chris Pedersen,Bob Orwig,Corkey Ford,David Neidorf,Richard Edson,Tony Todd",English,United States,
Spotlight,"January 27, 2016 (France)",Tous publics,2h 9m,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography,Crime,Drama","Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,Brian d'Arcy James,Stanley Tucci,Elena Wohl,Gene Amoroso,Doug Murray,Sharon McFarlane,Jamey Sheridan,Neal Huff,Billy Crudup,Robert B. Kennedy,Duane Murray,Brian Chamberlain,Michael Cyril Creighton",English,United States,
Les Quatre Cents Coups,"June 3, 1959 (France)",Tous publics,1h 39m,8.1,"A young boy, left without attention, delves into a life of petty crime.","Crime,Drama","Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,Georges Flamant,Patrick Auffay,Daniel Couturier,François Nocher,Richard Kanayan,Renaud Fontanarosa,Michel Girard,Serge Moati,Bernard Abbou,Jean-François Bergouignan,Michel Lesignor,Luc Andrieux,Robert Beauvais,Bouchon",French,France,Original title: Les quatre cents coups
La Haine,"May 31, 1995 (France)",Tous publics,1h 38m,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime,Drama","Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo,Joseph Momo,Héloïse Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse,Choukri Gabteni,Nabil Ben Mhamed,Benoît Magimel,Médard Niang,Arash Mansour,Abdel-Moulah Boujdouni,Mathilde Vitry,Christian Moro",French,France,Original title: La haine
Silent Voice,"August 22, 2018 (France)",Tous publics,2h 10m,8.2,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.","Animation,Drama","Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,Yûki Kaneko,Yui Ishikawa,Megumi Han,Toshiyuki Toyonaga,Mayu Matsuoka,Sachiko Kojima,Hana Takeda,Fuminori Komatsu,Ikuko Tani,Erena Kamata,Ayano Hamaguchi,Ryunosuke Watanuki,Ryô Nishitani,Takuya Masumoto",Japanese,Japan,Original title: Koe no katachi
Gangs of Wasseypur,"June 22, 2012 (India)",Tous publics avec avertissement,5h 21m,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Action,Comedy,Crime","Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,Jameel Khan,Piyush Mishra,Jaideep Ahlawat,Huma Qureshi,Zeishan Quadri,Vipin Sharma,Satyakam Anand,Aditya Kumar,Rajkummar Rao,Vineet Kumar Singh,Sankalp Acharekar,Aditya,Akshat,Hasrat Ali",Hindi,India,
Hatchi,"June 9, 2010 (France)",Tous publics,1h 33m,8.1,A college professor bonds with an abandoned dog he takes into his home.,"Biography,Drama,Family","Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,Jason Alexander,Erick Avari,Davenia McFadden,Robbie Sublett,Kevin DeCoste,Rob Degnan,Tora Hallström,Donna Sorbello,Frank S. Aronson,Troy Doherty,Ian Sherman,Timothy Crowe,Denece Ryland,Blake Friedman",English,United Kingdom,Original title: Hachi: A Dog's Tale
Luke la main froide,"December 1, 1967 (France)",12,2h 7m,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime,Drama","Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,Lou Antonio,Robert Drivas,Jo Van Fleet,Clifton James,Morgan Woodward,Luke Askew,Marc Cavell,Richard Davalos,Robert Donner,Warren Finnerty,Dennis Hopper,John McLiam,Wayne Rogers,Harry Dean Stanton",English,United States,Original title: Cool Hand Luke
Logan,"March 1, 2017 (France)",12 avec avertissement,2h 17m,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Action,Drama,Sci-Fi","Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,Stephen Merchant,Elizabeth Rodriguez,Richard E. Grant,Eriq La Salle,Elise Neal,Quincy Fouse,Al Coronel,Frank Gallegos,Anthony Escobar,Reynaldo Gallegos,Krzysztof Soszynski,Stephen Dunlevy,Daniel Bernhardt,Ryan Sturz",English,United States,
Network - Main basse sur la TV,"March 16, 1977 (France)",Tous publics,2h 1m,8.1,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Drama,"Faye Dunaway,William Holden,Peter Finch,Robert Duvall,Wesley Addy,Ned Beatty,Arthur Burghardt,Bill Burrows,John Carpenter,Jordan Charney,Kathy Cronkite,Ed Crowley,Jerome Dempsey,Conchata Ferrell,Gene Gross,Stanley Grover,Cindy Grover,Darryl Hickman",English,United States,Original title: Network
Le salaire de la peur,"April 22, 1953 (France)",Tous Public,2h 36m,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure,Drama,Thriller","Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,Véra Clouzot,William Tubbs,Darío Moreno,Jo Dest,Antonio Centa,Luis De Lima,Grégoire Gromoff,Josep Palau i Fabre,Faustini,Seguna,Darling Légitimus,René Baranger,Pat Hurst,Evelio Larenagas",French,France,
Stand by Me : Compte sur moi,"February 25, 1987 (France)",Tous publics,1h 29m,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Adventure,Drama","Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,Kiefer Sutherland,Casey Siemaszko,Gary Riley,Bradley Gregg,Jason Oliver Lipsett,Marshall Bell,Frances Lee McCain,Bruce Kirby,William Bronder,Scott Beach,Richard Dreyfuss,John Cusack,Madeleine Swift,Popeye",English,United States,Original title: Stand by Me
Million Dollar Baby,"March 23, 2005 (France)",Tous publics,2h 12m,8.1,A determined woman works with a hardened boxing trainer to become a professional.,"Drama,Sport","Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,Mike Colter,Lucia Rijker,Brían F. O'Byrne,Anthony Mackie,Margo Martindale,Riki Lindhome,Michael Peña,Benito Martinez,Bruce MacVittie,David Powledge,Joe D'Angerio,Marcus Chait,Tom McCleister,Erica Grant",English,United States,
